Feature1,Feature2,Feature3,Feature4,Feature5
117.1310956,38.0144177,11323.45769,821.639,183.101
117.0831091,40.7929346,2788.95391,526.046,186.875
114.520813,40.365921,11917.82492,1024.991,258.325
117.0134888,40.6444702,9784.19898,772.799,120.375
116.8897546,39.3524323,4290.11217,512.626,336.584
117.0015869,40.1146545,10706.23019,902.844,339.967
114.685921,38.3957271,12222.62863,862.515,184.927
116.918116,39.4993286,10089.00268,873.557,188.903
117.0163362,39.303772,7338.14923,762.813,183.759
117.0134888,40.6444702,9784.19898,774.397,120.306
117.4590415,38.1640778,6835.22312,714.778,206.299
117.0163362,39.303772,7338.14923,764.661,183.749
116.6119995,39.8323292,1493.53816,376.958,7.055
118.1688856,39.0347443,6553.27969,749.31,255.105
117.7442017,38.9182294,1562.119,364.802,60.832
118.2161746,37.5128639,8869.78786,839.044,203.962
117.3471799,39.1665802,236.22287,243.571,205.201
115.6190186,38.6911011,3634.7842,635.355,265.486
117.3471799,39.1665802,236.22287,244.366,205.594
118.1606459,38.6971436,9174.59156,863.127,64.315
114.6480063,38.7422333,8412.5823,762.241,185.018
115.8673096,39.7299957,3871.00707,556.491,86.757
117.4019324,39.3018036,800.10973,402.843,98.726
117.0015869,40.1146545,10706.23019,902.211,340.077
116.9197388,39.1174265,8153.49915,752.24,185.935
116.9658175,40.0387418,9464.15508,918.034,340.066
115.8673096,39.7299957,3871.00707,558.34,86.767
116.5331169,36.9625699,6614.24043,639.329,111.586
117.1060181,38.2906587,8862.16776,792.269,183.484
116.9918558,38.9750061,1630.69983,388.92,0
116.9913184,38.5640717,11041.51426,883.115,186.261
116.8216007,38.328598,9479.39527,740.267,191.985
118.13115,39.0441284,9654.6574,957.835,258.06
116.7692261,38.8615288,2499.39039,415.088,295.079
118.2161746,37.5128639,8869.78786,839.044,203.962
120.445205,38.1737195,9784.19898,741.439,133.583
118.1606459,38.6971436,9174.59156,863.127,64.315
114.6913545,38.3440541,9799.43916,836.366,184.827
117.7442017,38.9182294,1562.119,364.802,60.832
118.2161746,37.5128639,8869.78786,837.997,203.165
117.9741768,38.7719879,8412.5823,725.691,64.612
118.1688856,39.0347443,6553.27969,749.31,255.105
117.4602687,38.1621552,6858.08339,714.778,206.299
116.6079712,40.6337585,4274.87198,705.719,348.955
117.1066024,37.9294739,9479.39527,752.398,184.518
117.12677,39.124549,11300.59742,918.907,239.611
117.12677,39.124549,11300.59742,920.278,240.856
116.9920349,39.8149109,5852.23116,707.464,180
116.8081665,39.1960066,4206.29115,511.236,358.962
116.8081665,39.1960066,4206.29115,511.635,357.51
117.3604799,39.1243057,0,0,295.313
116.4517212,40.3718262,3459.52207,629.778,88.989
114.6296758,38.9379272,11597.78103,853.79,179.627
116.6111339,40.646202,4335.83272,705.719,348.955
116.5370923,42.0605986,8869.78786,944.209,249.326
116.6119995,39.8323292,1493.53816,376.958,7.055
120.1253476,38.3576008,6309.43672,793.992,190.891
115.4360365,39.7472076,9784.19898,770.383,133.247
115.7175014,37.736175,7101.92636,790.585,335.356
117.3471799,39.1665802,236.22287,244.366,205.594
116.3371582,38.7758727,4206.29115,639.144,287.017
116.0417175,40.1627104,5783.65033,666.576,131.396
116.0417175,40.1627104,5783.65033,667.802,131.515
117.1310956,38.0144177,11323.45769,821.639,183.101
118.0195063,40.7372116,9753.71861,878.418,302.953
116.8900531,39.3529358,4290.11217,512.626,336.584
116.9418335,39.6149768,3223.2992,587.084,0
119.5889282,38.7506414,8869.78786,977.549,252.355
116.9920349,39.8120728,5875.09144,707.464,180
115.6190186,38.6911011,3634.7842,635.355,265.486
117.0019531,40.1154785,10706.23019,902.211,340.077
119.0974731,38.8804756,8869.78786,985.676,251.94
116.9918823,38.9755818,1630.69983,388.92,0
118.6923483,38.4577789,6865.70349,685.015,64.197
116.9182354,39.4985046,10081.38259,873.557,188.903
116.9182354,39.4985046,10081.38259,871.728,188.922
118.046814,38.5147146,5059.74153,694.105,334.05
115.7226146,40.0042932,5433.12607,715.929,139.511
116.2772668,38.7607269,4785.41819,615.525,332.201
117.0163362,39.303772,7338.14923,764.661,183.749
116.8748169,39.8346102,4861.61912,655.608,180
117.652997,37.1355743,7802.97488,774.395,330.799
116.9126587,40.681778,10081.38259,791.43,182.28
118.1699219,39.0345169,6560.89978,749.31,255.105
116.9171281,40.4767984,11308.21751,865.677,182.452
120.9227295,38.4704435,9784.19898,729.107,122.237
120.2878139,38.5196686,11308.21751,985.405,258.289
117.1060778,38.2898673,8869.78786,792.269,183.484
117.3564048,39.1257706,0,0,0
118.8918338,38.905838,8107.77859,798.287,253.836
120.6277206,38.2109528,7048.58571,679.815,133.786
117.7436431,38.9184723,1562.119,364.802,60.832
120.132693,37.8797607,7193.36747,702.943,96.657
117.4019324,39.3018036,800.10973,402.566,98.466
116.5319214,39.2431175,5090.2219,702.26,31.301
117.3473511,39.1663063,228.60278,244.366,205.594
120.59552,38.7999868,1257.31529,430.673,51.109
120.0979415,38.5705261,6888.56376,815.406,232.011
116.3964233,38.9604989,5532.18727,674.682,329.845
117.1311646,40.8126068,1546.87881,484.715,186.582
114.6914142,38.3432162,9799.43916,836.366,184.827
115.1057129,39.5110722,10470.00732,803.326,132.851
115.7193448,37.7394104,7094.30627,790.585,335.356
117.3605347,39.1243162,0,0,295.313
116.8748169,39.8332602,4869.23921,655.608,180
116.1763306,40.2390747,4084.36967,537.846,126.317
116.9418202,39.6170197,3223.2992,587.084,0
118.0483345,38.5171509,5052.12143,694.105,334.05
117.4608645,38.161197,6865.70349,714.778,206.299
118.5539139,41.4808836,9784.19898,737.022,160.017
118.4987183,38.841651,2987.07632,546.679,20.215
118.6898406,38.4586945,6858.08339,685.015,64.197
119.2030042,36.5119443,9784.19898,671.242,83.346
116.6278076,39.7215349,2087.90539,392.978,2.431
118.8967285,38.9047293,8107.77859,798.287,253.836
115.4351409,39.7465668,9784.19898,770.383,133.247
116.890292,39.3533936,4282.49208,512.626,336.584
120.1000977,38.5691808,6888.56376,815.406,232.011
121.2445328,38.0631409,10698.6101,897.121,334.44
117.0613403,38.7232687,9456.53499,760.845,183.629
117.0015855,40.114622,10706.23019,902.211,340.077
117.0831091,40.7929346,2788.95391,526.046,186.875
117.0615234,38.72136,9464.15508,760.845,183.629
116.890292,39.3533936,4282.49208,510.927,336.501
116.3383484,38.7761536,4206.29115,639.144,287.017
116.4422408,39.6805573,2773.71373,385.327,219.735
120.921936,38.4700245,9784.19898,729.107,122.237
114.2909546,40.1087952,10866.25213,748.21,90.142
116.9918823,38.9760008,1623.07974,388.92,0
117.7432251,38.9186554,1562.119,364.802,60.832
116.9334984,36.4224701,6438.9783,758.262,345.285
116.2628174,38.9075224,3604.30383,647.935,149.036
114.6861624,38.3936005,12222.62863,862.515,184.927
114.520813,40.365921,11917.82492,1024.991,258.325
117.9724121,38.7726606,8412.5823,725.691,64.612
118.1581421,38.6980839,9174.59156,863.127,64.315
117.3475342,39.166027,228.60278,244.366,205.594
114.9484863,39.3973451,7802.97488,770.468,133.052
116.7702026,38.8619012,2491.7703,415.088,295.079
118.1713257,39.0342376,6560.89978,749.31,255.105
117.4006958,39.3016802,800.10973,402.566,98.466
116.9172363,40.4755096,11308.21751,865.677,182.452
115.8673096,39.7299957,3871.00707,558.34,86.767
117.7432251,38.9186554,1562.119,364.802,60.832
115.8655396,39.7300539,3886.24726,558.34,86.767
116.3964233,38.9604989,5532.18727,674.682,329.845
117.3605652,39.1243278,0,0,295.313
117.1291252,39.1235504,11300.59742,920.278,240.856
117.0165153,39.3014832,7353.38942,764.661,183.749
120.6277206,38.2109528,7048.58571,683.912,136.756
